t15,instance,ip,server,status,anomaly_score,threshold,is_anomaly,is_sustained,dominant_metric,resource,severity
2026-02-25 12:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5158862393808269,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-25 12:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5547725338796314,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-25 12:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5681133344026121,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 13:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.553427437544895,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-25 13:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5055766516984346,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-25 13:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.58564683779154,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 13:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6004511989671205,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 14:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.576876264271404,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 14:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5453332131750208,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-25 14:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6233127883145482,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 14:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5495463570261673,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-25 15:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5773758634886248,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 15:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5934104377026082,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 15:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.529837174333836,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-25 15:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5572645055241771,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 16:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5565242869462573,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 16:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6180872749979196,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 16:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5791355962263287,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 16:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6019770444367482,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 17:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.542245130010344,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-25 17:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5849216719980165,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 17:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5675771316503936,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 17:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5793030742247792,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 18:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5354036780807682,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-25 18:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5879095540618716,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-25 18:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.555615919475576,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-25 18:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5785900273644913,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 19:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.49669919203891544,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-25 19:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5840945825813217,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 19:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5623909074432218,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 19:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5155306290617118,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-25 20:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5328849381704917,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-25 20:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5538529476905287,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 20:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6020025911126562,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 20:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5752085397166281,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 21:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5638959508442947,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 21:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5791765667889054,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 21:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5849068802881503,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 21:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5574365605798934,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 22:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5512150271524499,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 22:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5719609761639465,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 22:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.606261740019675,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 22:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5831688508478761,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 23:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5848987186714372,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 23:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5712722280366802,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 23:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5743398110472929,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 23:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.596087477925812,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 00:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.580580342850236,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 00:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5897096554950718,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 00:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5584148082785328,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 00:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5788902780799025,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 01:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5355683013246435,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-26 01:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.549205528579726,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-26 01:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5656399267757922,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 01:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5802734579405071,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 02:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5996042537830159,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 02:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5910011387496918,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 02:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5541451802075903,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 02:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5754725504604438,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 03:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5336391333943215,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 03:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5979817212313937,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 03:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5779012530386395,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 03:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.567758700319427,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 04:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5857247150127268,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 04:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5863341735046691,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 04:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5904465939730003,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 04:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5778307314139891,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 05:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5348521041257178,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 05:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5974377099648329,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 05:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5573443043756872,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 05:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5744774923478827,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 06:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5121516738948096,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 06:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.602721018721307,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 06:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5919495896155963,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 06:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5579850913618456,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 07:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5634516079571397,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 07:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5553210675995699,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 07:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5491504611430806,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-26 07:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5749949061096136,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 08:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5943081569367052,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 08:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.6076091998076553,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 08:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.591297618194079,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-26 08:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5934844931197064,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-26 09:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5758508229700697,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
