timestamp_utc;instance;metric;value
2026-02-19T03:47:49+00:00;192.168.2.2:9182;cpu_pct;85.83
2026-02-19T03:48:19+00:00;192.168.2.2:9182;cpu_pct;87.88
2026-02-19T03:48:49+00:00;192.168.2.2:9182;cpu_pct;89.3
2026-02-19T03:49:19+00:00;192.168.2.2:9182;cpu_pct;90.72
2026-02-19T03:49:49+00:00;192.168.2.2:9182;cpu_pct;92.14
2026-02-19T03:50:19+00:00;192.168.2.2:9182;cpu_pct;93.56
2026-02-19T03:50:49+00:00;192.168.2.2:9182;cpu_pct;94.97
2026-02-19T03:47:49+00:00;192.168.2.2:9182;cpu_pct;85.81
2026-02-19T03:48:19+00:00;192.168.2.2:9182;cpu_pct;85.81
2026-02-19T03:48:49+00:00;192.168.2.2:9182;cpu_pct;88.9
2026-02-19T03:49:19+00:00;192.168.2.2:9182;cpu_pct;90.4
2026-02-19T03:49:49+00:00;192.168.2.2:9182;cpu_pct;91.81
2026-02-19T03:50:19+00:00;192.168.2.2:9182;cpu_pct;93.2
2026-02-19T03:50:49+00:00;192.168.2.2:9182;cpu_pct;94.61
2026-02-19T03:47:49+00:00;192.168.2.2:9182;mem_pct;92.76
2026-02-19T03:48:19+00:00;192.168.2.2:9182;mem_pct;92.76
2026-02-19T03:48:49+00:00;192.168.2.2:9182;mem_pct;92.76
2026-02-19T03:49:19+00:00;192.168.2.2:9182;mem_pct;92.76
2026-02-19T03:49:49+00:00;192.168.2.2:9182;mem_pct;92.76
2026-02-19T03:50:19+00:00;192.168.2.2:9182;mem_pct;92.76
2026-02-19T03:50:49+00:00;192.168.2.2:9182;mem_pct;92.76
2026-02-19T03:51:19+00:00;192.168.2.2:9182;mem_pct;92.76
2026-02-19T03:51:49+00:00;192.168.2.2:9182;mem_pct;92.76
2026-02-19T03:52:19+00:00;192.168.2.2:9182;mem_pct;94.11
2026-02-19T03:52:49+00:00;192.168.2.2:9182;mem_pct;94.11
2026-02-19T03:47:49+00:00;192.168.2.2:9182;mem_pct;90.93
2026-02-19T03:48:19+00:00;192.168.2.2:9182;mem_pct;90.93
2026-02-19T03:48:49+00:00;192.168.2.2:9182;mem_pct;90.93
2026-02-19T03:49:19+00:00;192.168.2.2:9182;mem_pct;90.93
2026-02-19T03:49:49+00:00;192.168.2.2:9182;mem_pct;90.93
2026-02-19T03:50:19+00:00;192.168.2.2:9182;mem_pct;90.93
2026-02-19T03:50:49+00:00;192.168.2.2:9182;mem_pct;90.93
2026-02-19T03:51:19+00:00;192.168.2.2:9182;mem_pct;90.93
2026-02-19T03:51:49+00:00;192.168.2.2:9182;mem_pct;90.93
2026-02-19T03:52:19+00:00;192.168.2.2:9182;mem_pct;90.52
2026-02-19T03:52:49+00:00;192.168.2.2:9182;mem_pct;90.52
2026-02-19T03:47:49+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:48:19+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:48:49+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:49:19+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:49:49+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:50:19+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:50:49+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:51:19+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:51:49+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:52:19+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:52:49+00:00;192.168.2.2:9182;disk_pct_C:;43.56
2026-02-19T03:47:49+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:48:19+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:48:49+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:49:19+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:49:49+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:50:19+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:50:49+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:51:19+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:51:49+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:52:19+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:52:49+00:00;192.168.2.2:9182;disk_pct_C:;45.62
2026-02-19T03:55:01+00:00;192.168.2.2:9182;cpu_pct;90.14
